hour_of_day,day_of_week,month,is_weekend,is_vacation,is_exam_period,outside_temperature,humidity,occupancy_count,energy_consumption_kwh
0,6,1970-01-01 00:00:00.000000001,1,0,0,-1.50995313876251,91.58246453871982,93,115.79977434344003
3,6,1970-01-01 00:00:00.000000001,1,0,0,2.499095764044291,70.66673726072568,115,94.13031656240769
6,6,1970-01-01 00:00:00.000000001,1,0,0,3.54062046962014,74.43284951129331,114,100.09787355427471
9,6,1970-01-01 00:00:00.000000001,1,0,0,5.577659656865627,70.10360019019917,47,90.33728875923518
12,6,1970-01-01 00:00:00.000000001,1,0,0,7.0697873546218055,71.05867104088199,40,89.19658445513441
15,6,1970-01-01 00:00:00.000000001,1,0,0,5.3635198312940835,75.21854638901225,48,87.79805480840629
18,6,1970-01-01 00:00:00.000000001,1,0,0,5.379802356219889,74.48990015135203,89,116.0006596432738
21,6,1970-01-01 00:00:00.000000001,1,0,0,-1.707995693112231,84.91774759882972,103,147.88614692416067
0,0,1970-01-01 00:00:00.000000001,0,0,0,1.5438407369351492,84.13693597405702,128,101.83163159279118
3,0,1970-01-01 00:00:00.000000001,0,0,0,-0.4373723614757807,88.11577493410113,137,100.96958295509448
6,0,1970-01-01 00:00:00.000000001,0,0,0,5.322157134118721,76.1695150658929,145,98.44168284692518
9,0,1970-01-01 00:00:00.000000001,0,0,0,7.843296005251316,64.01846139025194,52,72.75650366001112
12,0,1970-01-01 00:00:00.000000001,0,0,0,6.177632241156344,73.42134666352456,54,88.08353532600263
15,0,1970-01-01 00:00:00.000000001,0,0,0,7.177739320002581,72.63927247067664,63,93.80463620951208
18,0,1970-01-01 00:00:00.000000001,0,0,0,6.077661523164911,76.44959286902652,126,114.92027017031808
21,0,1970-01-01 00:00:00.000000001,0,0,0,-1.528663825561308,87.21837814283778,126,145.62082085775333
0,1,1970-01-01 00:00:00.000000001,0,0,0,0.0566091775400039,76.16229053875276,119,106.29902462856884
3,1,1970-01-01 00:00:00.000000001,0,0,0,2.119714244806268,83.75096559930859,143,100.76647222117369
6,1,1970-01-01 00:00:00.000000001,0,0,0,0.6688891866856173,84.72957132338135,137,118.01796993595792
9,1,1970-01-01 00:00:00.000000001,0,0,0,5.910051330341057,63.82243727022054,58,94.33919765790172
12,1,1970-01-01 00:00:00.000000001,0,0,0,8.527135404681271,63.637356420870134,54,85.67856067107935
15,1,1970-01-01 00:00:00.000000001,0,0,0,5.287790683828325,70.09687215933648,64,94.07412828742524
18,1,1970-01-01 00:00:00.000000001,0,0,0,3.013414786418623,81.02527918594028,126,135.39045981439057
21,1,1970-01-01 00:00:00.000000001,0,0,0,0.5865869923738646,78.78981060279759,127,137.38373234857607
0,2,1970-01-01 00:00:00.000000001,0,0,0,0.0253817016643858,82.18829950250283,112,112.34512213709712
3,2,1970-01-01 00:00:00.000000001,0,0,0,0.0241939670095419,76.61343243646314,142,111.47036515031748
6,2,1970-01-01 00:00:00.000000001,0,0,0,3.5411005916824627,79.15407336901994,143,112.77447905274954
9,2,1970-01-01 00:00:00.000000001,0,0,0,6.1170018281019445,70.69240228565712,56,86.68743020222249
12,2,1970-01-01 00:00:00.000000001,0,0,0,5.66824211775116,77.46735773764567,50,87.31364532161349
15,2,1970-01-01 00:00:00.000000001,0,0,0,4.5963636889761785,77.35510926120116,58,85.14507697721133
18,2,1970-01-01 00:00:00.000000001,0,0,0,2.844496208615896,84.45974798887961,127,125.72694467844546
21,2,1970-01-01 00:00:00.000000001,0,0,0,-1.9119510744920731,87.39788843855311,121,132.94483062540175
0,3,1970-01-01 00:00:00.000000001,0,0,0,-2.158908264613878,87.29943583804334,126,117.24804419398964
3,3,1970-01-01 00:00:00.000000001,0,0,0,0.4930064214610763,69.3959331634857,142,106.26245962184392
6,3,1970-01-01 00:00:00.000000001,0,0,0,2.17418618987406,73.71960469450292,146,122.7528467503454
9,3,1970-01-01 00:00:00.000000001,0,0,0,5.925546292409835,75.81943252486157,56,79.12138451761307
12,3,1970-01-01 00:00:00.000000001,0,0,0,9.031755618953737,71.43080509999155,60,85.02393416731616
15,3,1970-01-01 00:00:00.000000001,0,0,0,4.57392347386765,72.30661952893801,52,94.87584896700426
18,3,1970-01-01 00:00:00.000000001,0,0,0,1.7355323274843393,79.6138528009925,128,147.7946490299123
21,3,1970-01-01 00:00:00.000000001,0,0,0,1.5760230442690497,77.09792627642416,117,118.09541796442416
0,4,1970-01-01 00:00:00.000000001,0,0,0,-2.0411046705095988,87.19283185408658,120,132.39695553777656
3,4,1970-01-01 00:00:00.000000001,0,0,0,-0.7440706076659276,80.54622656885229,144,119.50604832674952
6,4,1970-01-01 00:00:00.000000001,0,0,0,5.647093413507333,73.63446422324175,145,101.55225837631136
9,4,1970-01-01 00:00:00.000000001,0,0,0,7.635087551266154,68.72495531337958,69,82.41661405785842
12,4,1970-01-01 00:00:00.000000001,0,0,0,5.897654140937888,70.3466778172853,66,91.414755994703
15,4,1970-01-01 00:00:00.000000001,0,0,0,5.676386058096169,72.39763918913101,65,91.67226231622185
18,4,1970-01-01 00:00:00.000000001,0,0,0,1.1834038318090931,72.95633489613378,126,136.74017443060723
21,4,1970-01-01 00:00:00.000000001,0,0,0,2.260805838342822,90.00603921320234,115,123.55590849312672
0,5,1970-01-01 00:00:00.000000001,1,0,0,-0.297752747368865,79.30712489583601,94,110.63220140850302
3,5,1970-01-01 00:00:00.000000001,1,0,0,0.9128214343578396,85.28309015253203,117,100.9351098764487
6,5,1970-01-01 00:00:00.000000001,1,0,0,2.577754704365815,76.3513392414717,113,106.02042296108104
9,5,1970-01-01 00:00:00.000000001,1,0,0,5.777531736867842,70.44815300097325,42,84.43540347292517
12,5,1970-01-01 00:00:00.000000001,1,0,0,7.213528506103123,74.80788215648143,51,82.97004169815814
15,5,1970-01-01 00:00:00.000000001,1,0,0,6.360698737413337,73.73790144850769,44,86.40987940583402
18,5,1970-01-01 00:00:00.000000001,1,0,0,3.079637688538885,75.16978679354861,98,124.30666176339165
21,5,1970-01-01 00:00:00.000000001,1,0,0,1.9483040084282464,70.16892466591798,86,116.47430534028916
0,6,1970-01-01 00:00:00.000000001,1,0,0,-0.7067447561152571,85.43281882193308,86,107.38576192123276
3,6,1970-01-01 00:00:00.000000001,1,0,0,-1.2092926928934369,80.65820151796922,118,111.8090502907786
6,6,1970-01-01 00:00:00.000000001,1,0,0,2.803913267870534,71.2351577850969,117,105.02810525660963
9,6,1970-01-01 00:00:00.000000001,1,0,0,4.305859165581448,66.55203980681881,50,88.59287482763933
12,6,1970-01-01 00:00:00.000000001,1,0,0,6.202629381910636,73.40059129887705,38,88.13564858250672
15,6,1970-01-01 00:00:00.000000001,1,0,0,3.787048060148328,82.72037957865301,43,92.74331217737064
18,6,1970-01-01 00:00:00.000000001,1,0,0,6.05300717723887,78.53614398291776,98,118.78927332665208
21,6,1970-01-01 00:00:00.000000001,1,0,0,-1.2535841249748,84.70147241909399,94,138.20052891167532
0,0,1970-01-01 00:00:00.000000001,0,0,0,0.1756615285466007,71.51813517652101,128,107.2775145762287
3,0,1970-01-01 00:00:00.000000001,0,0,0,-0.1398829802987424,89.95741236082854,145,108.700720156217
6,0,1970-01-01 00:00:00.000000001,0,0,0,3.7507451791869375,74.514350868195,137,106.01422249300532
9,0,1970-01-01 00:00:00.000000001,0,0,0,3.990868721163968,69.66738804423056,64,91.7275720014286
12,0,1970-01-01 00:00:00.000000001,0,0,0,9.607987279169588,70.49465445854192,66,82.69089824641316
15,0,1970-01-01 00:00:00.000000001,0,0,0,4.565525042206497,65.95667127177425,57,88.22128336606607
18,0,1970-01-01 00:00:00.000000001,0,0,0,3.597013589913239,81.15748728714674,129,127.53175772449632
21,0,1970-01-01 00:00:00.000000001,0,0,0,-0.465329901477445,91.32177205824824,114,128.83066048376048
0,1,1970-01-01 00:00:00.000000001,0,0,0,2.2490688817910547,77.4961903851749,118,106.08435667280958
3,1,1970-01-01 00:00:00.000000001,0,0,0,0.1932463781819925,88.47931535232888,142,117.80778794223274
6,1,1970-01-01 00:00:00.000000001,0,0,0,3.5453715376672563,76.55486005152014,142,105.94076502942607
